-0.944477, 0.415221; -0.570679, 0.696925; 0.262106, -0.223016; -0.509201, 0.000000; 0.827596, 0.001453; -0.652007, 0.000000; 
-0.943512, 0.192938; -0.568849, 0.366069; 0.261563, -0.108574; -0.509194, 0.001453; 0.827603, 0.001453; -0.652007, 0.000000; 
-0.942613, 0.179733; -0.566978, 0.374139; 0.261032, -0.106373; -0.509194, 0.000000; 0.827610, 0.001453; -0.652007, 0.000000; 
-0.941682, 0.186336; -0.565012, 0.393213; 0.260551, -0.096102; -0.509194, 0.000000; 0.827617, 0.001453; -0.652007, 0.000000; 
-0.940585, 0.219348; -0.563042, 0.393946; 0.260089, -0.092434; -0.509201, -0.001453; 0.827625, 0.001453; -0.652007, 0.000000; 
-0.939375, 0.242090; -0.561054, 0.397614; 0.259623, -0.093168; -0.509194, 0.001453; 0.827632, 0.001453; -0.652007, 0.000000; 
-0.938069, 0.261164; -0.558993, 0.412286; 0.259110, -0.102705; -0.509201, -0.001453; 0.827646, 0.002906; -0.652007, 0.000000; 
-0.936789, 0.256028; -0.556917, 0.415221; 0.258563, -0.109307; -0.509201, 0.000000; 0.827661, 0.002906; -0.652007, 0.000000; 
-0.935516, 0.254561; -0.554749, 0.433561; 0.257972, -0.118111; -0.509201, 0.000000; 0.827675, 0.002906; -0.652007, 0.000000; 
-0.934247, 0.253828; -0.552651, 0.419622; 0.257356, -0.123246; -0.509209, -0.001453; 0.827690, 0.002906; -0.652007, 0.000000; 
-0.932919, 0.265565; -0.550553, 0.419622; 0.256722, -0.126914; -0.509216, -0.001453; 0.827719, 0.005811; -0.652014, -0.001453; 
-0.931463, 0.291241; -0.548469, 0.416688; 0.256047, -0.134983; -0.509223, -0.001453; 0.827763, 0.008717; -0.652014, 0.000000; 
-0.929996, 0.293442; -0.546327, 0.428426; 0.255405, -0.128381; -0.509223, 0.000000; 0.827951, 0.037774; -0.652014, 0.000000; 
-0.928462, 0.306647; -0.544086, 0.448233; 0.254803, -0.120311; -0.509238, -0.002906; 0.828380, 0.085717; -0.652014, 0.000000; 
-0.926867, 0.319118; -0.541981, 0.421090; 0.254227, -0.115176; -0.509238, 0.000000; 0.829027, 0.129302; -0.652014, 0.000000; 
-0.925227, 0.327922; -0.539857, 0.424758; 0.253666, -0.112242; -0.509238, 0.000000; 0.829811, 0.156905; -0.652014, 0.000000; 
-0.923595, 0.326454; -0.537799, 0.411553; 0.253116, -0.110041; -0.509252, -0.002906; 0.830676, 0.172886; -0.652014, 0.000000; 
-0.921933, 0.332323; -0.535767, 0.406418; 0.252536, -0.115910; -0.509252, 0.000000; 0.831605, 0.185962; -0.652014, 0.000000; 
-0.920161, 0.354332; -0.533680, 0.417422; 0.251953, -0.116643; -0.509267, -0.002906; 0.832564, 0.191773; -0.652014, 0.000000; 
-0.918239, 0.384409; -0.531578, 0.420356; 0.251344, -0.121779; -0.509274, -0.001453; 0.833479, 0.183056; -0.652014, 0.000000; 
-0.916394, 0.369004; -0.529410, 0.433561; 0.250684, -0.132049; -0.509267, 0.001453; 0.834329, 0.169981; -0.652014, 0.000000; 
-0.914494, 0.380008; -0.527176, 0.446766; 0.249987, -0.139385; -0.509274, -0.001453; 0.835310, 0.196132; -0.652014, 0.000000; 
-0.912565, 0.385877; -0.524884, 0.458503; 0.249298, -0.137918; -0.509303, -0.005811; 0.836443, 0.226641; -0.652014, 0.000000; 
-0.910669, 0.379274; -0.522720, 0.432827; 0.248615, -0.136451; -0.509303, 0.000000; 0.837751, 0.261509; -0.652014, 0.000000; 
-0.908629, 0.407885; -0.520545, 0.435028; 0.248014, -0.120311; -0.509303, 0.000000; 0.839196, 0.289113; -0.652014, 0.000000; 
-0.906777, 0.370471; -0.518384, 0.432094; 0.247471, -0.108574; -0.509303, 0.000000; 0.840802, 0.321075; -0.652014, 0.000000; 
-0.904917, 0.371938; -0.516169, 0.443098; 0.246957, -0.102705; -0.509303, 0.000000; 0.842589, 0.357395; -0.652014, 0.000000; 
-0.902973, 0.388811; -0.513891, 0.455569; 0.246466, -0.098303; -0.509318, -0.002906; 0.844681, 0.418414; -0.652014, 0.000000; 
-0.900930, 0.408618; -0.511580, 0.462172; 0.246000, -0.093168; -0.509332, -0.002906; 0.846867, 0.437301; -0.652014, 0.000000; 
-0.898817, 0.422557; -0.509397, 0.436495; 0.245549, -0.090233; -0.509332, 0.000000; 0.849199, 0.466357; -0.652014, 0.000000; 
-0.896638, 0.435762; -0.507307, 0.418155; 0.245112, -0.087299; -0.509339, -0.001453; 0.851676, 0.495414; -0.652014, 0.000000; 
-0.880264, 0.512790; -0.493130, 0.437963; 0.242013, -0.077029; -0.509339, 0.000000; 0.871587, 0.614546; -0.652014, 0.000000; 
-0.877653, 0.522327; -0.491068, 0.412286; 0.241683, -0.066025; -0.509332, 0.001453; 0.874391, 0.560791; -0.652014, 0.000000; 
-0.875063, 0.517926; -0.488952, 0.423290; 0.241342, -0.068225; -0.509332, 0.000000; 0.877050, 0.531735; -0.652014, 0.000000; 
-0.872437, 0.525262; -0.486835, 0.423290; 0.241030, -0.062356; -0.509332, 0.000000; 0.879578, 0.505584; -0.652014, 0.000000; 
-0.869638, 0.559741; -0.484704, 0.426225; 0.240740, -0.057955; -0.509332, 0.000000; 0.881997, 0.483791; -0.652014, 0.000000; 
-0.866894, 0.548737; -0.482606, 0.419622; 0.240480, -0.052086; -0.509339, -0.001453; 0.884285, 0.457640; -0.652014, 0.000000; 
-0.864088, 0.561208; -0.480618, 0.397614; 0.240237, -0.048418; -0.509332, 0.001453; 0.886551, 0.453282; -0.652014, 0.000000; 
